date,minute,label,high,low,open,close,average,volume,symbol
2025-04-02,15:59,03:59 PM,224.09,223.8,224.07,223.87,223.945,38189,AAPL
2025-04-02,15:58,03:58 PM,224.23,224.07,224.22,224.11,224.14999999999998,16607,AAPL
2025-04-02,15:57,03:57 PM,224.28,224.18,224.19,224.22,224.23000000000002,5830,AAPL
2025-04-02,15:56,03:56 PM,224.26,224.09,224.18,224.15,224.175,6090,AAPL
2025-04-02,15:55,03:55 PM,224.28,224.06,224.09,224.16,224.17000000000002,10896,AAPL
2025-04-02,15:54,03:54 PM,224.35,223.9,224.21,223.96,224.125,9015,AAPL
2025-04-02,15:53,03:53 PM,224.24,224.01,224.15,224.22,224.125,5593,AAPL
2025-04-02,15:52,03:52 PM,224.25,224.09,224.12,224.09,224.17000000000002,5830,AAPL
2025-04-02,15:51,03:51 PM,224.25,224.07,224.21,224.15,224.16,4774,AAPL
2025-04-02,15:50,03:50 PM,224.39,224.13,224.24,224.19,224.26,3669,AAPL
2025-04-02,15:49,03:49 PM,224.4,224.19,224.29,224.22,224.29500000000002,3031,AAPL
2025-04-02,15:48,03:48 PM,224.35,224.19,224.34,224.24,224.26999999999998,1926,AAPL
2025-04-02,15:47,03:47 PM,224.34,224.26,224.28,224.34,224.3,1181,AAPL
2025-04-02,15:46,03:46 PM,224.4,224.29,224.4,224.3,224.345,1613,AAPL
2025-04-02,15:45,03:45 PM,224.43,224.29,224.29,224.43,224.36,1083,AAPL
2025-04-02,15:44,03:44 PM,224.32,224.18,224.22,224.31,224.25,1511,AAPL
2025-04-02,15:43,03:43 PM,224.3,224.2,224.21,224.29,224.25,934,AAPL
2025-04-02,15:42,03:42 PM,224.24,224.13,224.14,224.19,224.185,2845,AAPL
2025-04-02,15:41,03:41 PM,224.14,224.0,224.09,224.14,224.07,3594,AAPL
2025-04-02,15:40,03:40 PM,224.1,223.83,223.87,224.08,223.965,2117,AAPL
2025-04-02,15:39,03:39 PM,223.95,223.85,223.86,223.86,223.89999999999998,1633,AAPL
2025-04-02,15:38,03:38 PM,223.99,223.87,223.92,223.87,223.93,1237,AAPL
2025-04-02,15:37,03:37 PM,224.0,223.91,223.91,223.93,223.95499999999998,1235,AAPL
2025-04-02,15:36,03:36 PM,224.06,223.87,224.06,223.9,223.965,1263,AAPL
2025-04-02,15:35,03:35 PM,224.05,223.83,223.89,224.05,223.94,1434,AAPL
2025-04-02,15:34,03:34 PM,224.05,223.89,223.91,223.94,223.97,1071,AAPL
2025-04-02,15:33,03:33 PM,223.96,223.88,223.94,223.96,223.92000000000002,3188,AAPL
2025-04-02,15:32,03:32 PM,223.94,223.79,223.91,223.87,223.865,2090,AAPL
2025-04-02,15:31,03:31 PM,223.91,223.7,223.71,223.91,223.805,1985,AAPL
