,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2020-03-02,09:30,09:30 AM,283.98,281.81,282.43,283.3,282.747,75128,21242195.78,361,AAPL
1,2020-03-02,09:31,09:31 AM,283.545,280.89,283.545,282.7,282.07,14077,3970705.03,120,AAPL
2,2020-03-02,09:32,09:32 AM,284.19,282.32,283.37,282.32,283.337,6045,1712774.805,71,AAPL
3,2020-03-02,09:33,09:33 AM,283.82,281.86,282.5,282.35,282.711,4494,1270505.04,63,AAPL
4,2020-03-02,09:34,09:34 AM,282.6,280.99,282.16,281.56,281.947,10465,2950580.755,85,AAPL
5,2020-03-02,09:35,09:35 AM,281.44,280.475,281.19,280.475,280.903,7952,2233737.865,73,AAPL
6,2020-03-02,09:36,09:36 AM,280.76,279.21,280.53,279.33,279.813,7758,2170787.375,53,AAPL
7,2020-03-02,09:37,09:37 AM,279.81,279.01,279.425,279.81,279.395,2647,739558.685,28,AAPL
8,2020-03-02,09:38,09:38 AM,280.37,279.64,279.87,279.935,279.83799999999997,3420,957046.85,26,AAPL
9,2020-03-02,09:39,09:39 AM,280.36,279.06,280.25,279.085,279.481,9549,2668764.425,65,AAPL
10,2020-03-02,09:40,09:40 AM,279.68,277.77,278.85,277.88,278.868,11574,3227615.965,85,AAPL
11,2020-03-02,09:41,09:41 AM,279.56,277.9,278.04,279.36,278.435,8354,2326047.13,60,AAPL
12,2020-03-02,09:42,09:42 AM,279.7,278.23,279.36,278.4,278.841,2080,579989.75,26,AAPL
13,2020-03-02,09:43,09:43 AM,279.79,278.26,278.65,279.79,278.959,2132,594741.73,17,AAPL
14,2020-03-02,09:44,09:44 AM,279.98,279.59,279.72,279.85,279.749,2111,590549.53,25,AAPL
15,2020-03-02,09:45,09:45 AM,281.56,279.89,279.945,281.16,280.819,3707,1040997.425,35,AAPL
16,2020-03-02,09:46,09:46 AM,281.62,280.7,280.7,281.22,281.255,2485,698918.25,23,AAPL
17,2020-03-02,09:47,09:47 AM,281.46,280.87,281.21,281.27,281.143,3010,846240.3,20,AAPL
18,2020-03-02,09:48,09:48 AM,281.6,280.935,281.0,281.41,281.316,1437,404250.61,17,AAPL
19,2020-03-02,09:49,09:49 AM,282.175,281.11,281.42,281.21,281.652,2563,721874.725,27,AAPL
20,2020-03-02,09:50,09:50 AM,282.375,281.27,281.27,282.15,282.004,5301,1494903.395,28,AAPL
21,2020-03-02,09:51,09:51 AM,282.36,281.02,282.36,281.1,281.467,5619,1581563.72,40,AAPL
22,2020-03-02,09:52,09:52 AM,281.56,280.77,281.19,281.23,281.168,3470,975652.7,34,AAPL
23,2020-03-02,09:53,09:53 AM,282.245,281.15,281.15,282.245,281.612,3171,892992.28,35,AAPL
24,2020-03-02,09:54,09:54 AM,282.43,281.985,282.29,282.26,282.252,2862,807803.88,32,AAPL
25,2020-03-02,09:55,09:55 AM,282.31,281.825,282.17,282.31,282.04400000000004,4934,1391606.495,40,AAPL
