,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
156,2020-03-03,12:06,12:06 PM,296.57,296.355,296.5,296.485,296.5,565,167522.45,5,AAPL
157,2020-03-03,12:07,12:07 PM,296.67,295.99,295.99,296.67,296.499,701,207845.99,5,AAPL
158,2020-03-03,12:08,12:08 PM,297.17,296.865,296.865,297.1,297.01,1441,427990.79,8,AAPL
159,2020-03-03,12:09,12:09 PM,297.43,297.43,297.43,297.43,297.43,100,29743.0,1,AAPL
160,2020-03-03,12:10,12:10 PM,297.32,297.02,297.02,297.32,297.163,300,89149.0,3,AAPL
161,2020-03-03,12:11,12:11 PM,296.86,296.77,296.86,296.77,296.815,200,59363.0,2,AAPL
162,2020-03-03,12:12,12:12 PM,296.945,296.4,296.945,296.4,296.681,471,139736.62,3,AAPL
163,2020-03-03,12:13,12:13 PM,296.42,295.95,296.32,295.97,296.067,1921,568745.21,11,AAPL
164,2020-03-03,12:14,12:14 PM,295.46,295.19,295.46,295.27,295.269,626,184838.21,7,AAPL
165,2020-03-03,12:15,12:15 PM,294.88,294.79,294.88,294.79,294.835,200,58967.0,2,AAPL
166,2020-03-03,12:16,12:16 PM,295.18,295.06,295.18,295.17,295.16900000000004,1200,354203.0,6,AAPL
167,2020-03-03,12:17,12:17 PM,295.105,294.96,295.075,294.96,295.077,960,283273.655,8,AAPL
168,2020-03-03,12:18,12:18 PM,295.37,294.61,294.73,295.37,295.009,1164,343390.025,14,AAPL
169,2020-03-03,12:19,12:19 PM,295.0,294.96,294.96,295.0,294.987,300,88496.0,2,AAPL
170,2020-03-03,12:20,12:20 PM,294.82,294.82,294.82,294.82,294.82,500,147410.0,3,AAPL
171,2020-03-03,12:21,12:21 PM,295.26,294.58,294.835,294.58,294.714,697,205415.76,5,AAPL
172,2020-03-03,12:22,12:22 PM,295.24,295.06,295.06,295.17,295.155,325,95925.5,4,AAPL
173,2020-03-03,12:23,12:23 PM,294.98,294.97,294.98,294.97,294.973,300,88492.0,2,AAPL
174,2020-03-03,12:24,12:24 PM,295.215,295.1,295.105,295.215,295.137,400,118055.0,4,AAPL
175,2020-03-03,12:25,12:25 PM,295.57,295.295,295.48,295.46,295.457,500,147728.5,4,AAPL
176,2020-03-03,12:26,12:26 PM,294.63,293.89,294.63,293.9,294.365,302,88898.36,5,AAPL
177,2020-03-03,12:27,12:27 PM,293.98,293.75,293.75,293.98,293.918,453,133144.94,7,AAPL
178,2020-03-03,12:28,12:28 PM,293.98,293.57,293.85,293.98,293.719,615,180637.55,6,AAPL
179,2020-03-03,12:29,12:29 PM,294.02,293.82,293.82,293.93,293.968,1175,345412.0,11,AAPL
180,2020-03-03,12:30,12:30 PM,294.03,293.585,293.9,293.585,293.877,801,235395.415,8,AAPL
181,2020-03-03,12:31,12:31 PM,293.73,293.62,293.62,293.65,293.685,600,176211.0,6,AAPL
182,2020-03-03,12:32,12:32 PM,293.6,293.25,293.6,293.25,293.317,720,211188.0,5,AAPL
183,2020-03-03,12:33,12:33 PM,294.0,293.5,293.58,294.0,293.752,600,176251.0,6,AAPL
184,2020-03-03,12:34,12:34 PM,294.295,293.81,293.81,294.295,293.874,1800,528973.0,7,AAPL
185,2020-03-03,12:35,12:35 PM,293.88,293.68,293.88,293.73,293.746,1100,323121.0,6,AAPL
186,2020-03-03,12:36,12:36 PM,294.225,293.72,293.72,294.225,293.987,900,264588.0,5,AAPL
187,2020-03-03,12:37,12:37 PM,,,,,,0,0.0,0,AAPL
188,2020-03-03,12:38,12:38 PM,294.34,293.83,294.34,293.83,294.238,500,147119.0,2,AAPL
189,2020-03-03,12:39,12:39 PM,294.73,293.87,293.87,294.73,294.346,1375,404725.75,11,AAPL
190,2020-03-03,12:40,12:40 PM,294.855,294.85,294.85,294.855,294.851,130,38330.65,2,AAPL
191,2020-03-03,12:41,12:41 PM,294.79,294.56,294.56,294.65,294.709,215,63362.4,3,AAPL
192,2020-03-03,12:42,12:42 PM,294.61,294.09,294.61,294.09,294.158,705,207381.25,8,AAPL
193,2020-03-03,12:43,12:43 PM,294.45,294.145,294.145,294.45,294.272,440,129479.5,4,AAPL
194,2020-03-03,12:44,12:44 PM,294.18,293.81,293.81,294.18,294.098,804,236454.74,7,AAPL
195,2020-03-03,12:45,12:45 PM,294.715,294.405,294.405,294.715,294.508,500,147254.0,4,AAPL
196,2020-03-03,12:46,12:46 PM,295.12,294.81,295.035,295.06,294.98400000000004,795,234512.02,17,AAPL
197,2020-03-03,12:47,12:47 PM,295.08,294.91,294.985,295.08,295.045,332,97954.82,5,AAPL
198,2020-03-03,12:48,12:48 PM,295.47,295.23,295.3,295.23,295.33299999999997,300,88600.0,3,AAPL
199,2020-03-03,12:49,12:49 PM,295.26,294.86,295.26,294.925,295.017,675,199136.75,7,AAPL
200,2020-03-03,12:50,12:50 PM,294.735,294.325,294.735,294.46,294.56,400,117824.0,4,AAPL
201,2020-03-03,12:51,12:51 PM,294.6,294.27,294.6,294.27,294.468,320,94229.8,4,AAPL
202,2020-03-03,12:52,12:52 PM,294.17,293.9,294.15,293.99,294.075,800,235260.0,7,AAPL
203,2020-03-03,12:53,12:53 PM,294.275,294.215,294.215,294.275,294.216,101,29715.775,2,AAPL
204,2020-03-03,12:54,12:54 PM,293.93,293.66,293.93,293.66,293.84,300,88152.0,3,AAPL
205,2020-03-03,12:55,12:55 PM,293.44,293.33,293.33,293.44,293.437,103,30223.99,2,AAPL
206,2020-03-03,12:56,12:56 PM,293.16,292.97,293.16,292.97,293.058,550,161182.0,4,AAPL
207,2020-03-03,12:57,12:57 PM,293.46,293.39,293.46,293.39,293.425,100,29342.5,2,AAPL
208,2020-03-03,12:58,12:58 PM,293.85,293.54,293.54,293.85,293.733,520,152741.0,5,AAPL
209,2020-03-03,12:59,12:59 PM,294.0,294.0,294.0,294.0,294.0,100,29400.0,1,AAPL
210,2020-03-03,13:00,1 PM,293.53,292.89,293.53,292.89,293.053,345,101103.25,7,AAPL
211,2020-03-03,13:01,1:01 PM,292.59,292.5,292.5,292.5,292.532,593,173471.5,6,AAPL
212,2020-03-03,13:02,1:02 PM,292.75,292.75,292.75,292.75,292.75,400,117100.0,4,AAPL
213,2020-03-03,13:03,1:03 PM,293.01,293.01,293.01,293.01,293.01,200,58602.0,1,AAPL
214,2020-03-03,13:04,1:04 PM,292.43,292.12,292.42,292.185,292.308,506,147907.72,7,AAPL
215,2020-03-03,13:05,1:05 PM,292.295,292.0,292.295,292.0,292.207,400,116883.0,3,AAPL
216,2020-03-03,13:06,1:06 PM,292.51,292.24,292.51,292.47,292.348,500,146173.8,5,AAPL
217,2020-03-03,13:07,1:07 PM,,,,,,0,0.0,0,AAPL
218,2020-03-03,13:08,1:08 PM,292.57,292.1,292.1,292.305,292.365,607,177465.4,8,AAPL
219,2020-03-03,13:09,1:09 PM,292.87,292.87,292.87,292.87,292.87,1,292.87,1,AAPL
220,2020-03-03,13:10,1:10 PM,292.28,292.28,292.28,292.28,292.28,71,20751.88,1,AAPL
221,2020-03-03,13:11,1:11 PM,292.32,291.97,292.32,292.14,292.17400000000004,545,159234.8,4,AAPL
222,2020-03-03,13:12,1:12 PM,292.49,292.395,292.44,292.49,292.45,1200,350939.5,7,AAPL
223,2020-03-03,13:13,1:13 PM,291.89,291.89,291.89,291.89,291.89,100,29189.0,1,AAPL
224,2020-03-03,13:14,1:14 PM,291.525,291.35,291.525,291.35,291.438,400,116575.0,2,AAPL
225,2020-03-03,13:15,1:15 PM,292.14,291.695,291.695,292.14,291.82599999999996,1250,364782.86,14,AAPL
226,2020-03-03,13:16,1:16 PM,292.075,291.95,292.075,291.95,291.95799999999997,201,58683.575,3,AAPL
227,2020-03-03,13:17,1:17 PM,292.03,291.865,291.965,291.865,291.932,500,145966.0,4,AAPL
228,2020-03-03,13:18,1:18 PM,291.915,291.795,291.91,291.81,291.86400000000003,700,204305.0,6,AAPL
229,2020-03-03,13:19,1:19 PM,291.34,290.945,291.205,291.34,291.168,339,98705.865,5,AAPL
230,2020-03-03,13:20,1:20 PM,,,,,,0,0.0,0,AAPL
231,2020-03-03,13:21,1:21 PM,290.8,290.8,290.8,290.8,290.8,1,290.8,1,AAPL
232,2020-03-03,13:22,1:22 PM,291.27,290.63,290.63,290.94,290.903,675,196359.51,8,AAPL
233,2020-03-03,13:23,1:23 PM,290.71,290.615,290.66,290.645,290.656,921,267694.375,10,AAPL
234,2020-03-03,13:24,1:24 PM,290.53,290.39,290.465,290.53,290.428,2573,747271.52,5,AAPL
235,2020-03-03,13:25,1:25 PM,291.19,290.73,290.88,290.995,290.98400000000004,1100,320082.0,6,AAPL
236,2020-03-03,13:26,1:26 PM,290.51,290.15,290.51,290.285,290.276,1623,471117.655,8,AAPL
237,2020-03-03,13:27,1:27 PM,290.12,289.56,290.12,289.56,289.843,1310,379694.64,25,AAPL
238,2020-03-03,13:28,1:28 PM,290.39,289.96,289.96,290.39,290.244,1051,305046.16,10,AAPL
239,2020-03-03,13:29,1:29 PM,291.35,290.39,290.39,291.35,290.502,646,187664.35,18,AAPL
240,2020-03-03,13:30,1:30 PM,291.265,291.0,291.22,291.265,291.183,460,133944.3,6,AAPL
241,2020-03-03,13:31,1:31 PM,291.25,290.78,291.25,290.78,290.974,530,154216.5,5,AAPL
242,2020-03-03,13:32,1:32 PM,290.685,290.665,290.685,290.665,290.678,300,87203.5,2,AAPL
243,2020-03-03,13:33,1:33 PM,291.285,290.69,290.72,291.285,291.031,505,146970.45,4,AAPL
